date,max_temperature_c,min_temperature_c,avg_temperature_c,humidity_percent,wind_speed_kmh,rainfall_mm,pm25_air_pollution,uv_index,heat_index,elderly_population_pct,population_density,poverty_index,heatwave,consecutive_heat_days,mortality_count,mortality_risk_level
2019-02-23,41.03,31.26,34.81,71.95,12.56,6.59,15.63,9.81,48.23,13.66,1542.09,0.11,1,16,31,High
2019-02-24,41.93,32.89,34.87,59.8,11.02,0.77,33.22,8.43,47.91,18.87,7360.18,0.31,1,17,33,High
2019-02-25,41.79,32.16,34.93,72.06,14.5,7.95,19.82,9.82,49.0,21.35,7465.43,0.38,1,18,31,High
2019-02-26,38.31,31.7,34.99,84.62,10.22,3.79,27.9,7.37,46.77,9.11,5625.7,0.68,1,19,32,High
2019-02-27,39.43,29.73,35.04,74.49,13.08,4.31,20.92,10.65,46.87,15.5,632.24,0.37,1,20,34,High
2019-02-28,40.76,30.71,35.1,79.62,17.93,0.67,26.46,7.67,48.72,12.38,4528.06,0.11,1,21,34,High
2019-03-01,42.1,30.86,35.15,67.63,11.79,0.8,32.14,6.06,48.87,11.16,5219.14,0.35,1,22,36,High
2019-03-02,39.25,29.93,35.2,77.5,10.15,2.21,15.18,12.35,47.0,15.08,7959.91,0.45,1,23,34,High
2019-03-03,39.88,31.46,35.26,72.79,12.17,0.57,19.56,4.35,47.16,16.49,7970.5,0.76,1,24,32,High
2019-03-04,38.09,30.72,35.3,60.49,8.9,1.09,26.48,6.52,44.14,8.14,6932.08,0.76,1,25,30,High
2019-03-05,37.96,31.51,35.35,73.19,17.16,1.16,44.21,6.75,45.28,18.92,978.73,0.23,1,26,37,High
2019-03-06,42.02,31.0,35.4,60.08,10.54,0.52,18.09,13.02,48.03,19.48,7649.57,0.23,1,27,35,High
2019-03-07,43.15,32.32,35.44,63.67,9.18,0.69,41.32,11.61,49.52,21.52,5094.96,0.21,1,28,41,High
2019-03-08,40.34,35.14,35.48,71.89,7.49,4.66,41.04,10.99,47.53,10.53,6506.65,0.65,1,29,37,High
2019-03-09,42.53,31.73,35.53,72.97,13.29,0.55,24.22,7.34,49.83,16.32,3553.95,0.1,1,30,37,High
2019-03-10,41.29,29.43,35.57,58.11,12.6,0.09,22.61,12.85,47.1,13.97,2897.52,0.19,1,31,39,High
2019-03-11,39.31,30.21,35.6,80.54,8.51,2.98,19.46,8.74,47.37,12.69,3974.33,0.48,1,32,37,High
2019-03-12,41.36,30.19,35.64,75.72,11.73,11.19,24.45,9.95,48.93,15.92,1601.56,0.27,1,33,38,High
2019-03-13,43.75,29.82,35.67,62.95,5.47,1.21,13.75,8.36,50.04,18.95,3178.0,0.16,1,34,39,High
2019-03-14,40.63,31.57,35.71,54.62,10.55,0.38,24.39,7.9,46.1,8.32,6932.13,0.35,1,35,40,High
2019-03-15,43.87,31.44,35.74,68.55,11.36,2.53,36.98,7.5,50.72,21.57,784.63,0.29,1,36,44,High
2019-03-16,35.53,32.69,35.77,65.54,15.12,7.1,20.11,7.58,42.08,19.34,1631.59,0.46,1,37,39,High
2019-03-17,42.44,32.27,35.79,71.13,7.69,4.6,23.07,9.22,49.55,18.52,1438.37,0.79,1,38,40,High
2019-03-18,40.99,30.9,35.82,66.37,6.16,2.92,11.39,8.73,47.63,18.65,3523.07,0.19,1,39,42,High
2019-03-19,40.25,30.04,35.84,49.93,7.31,1.14,27.99,7.94,45.24,13.45,7977.4,0.36,1,40,44,High
2019-03-20,41.05,32.08,35.87,66.12,5.99,2.34,27.12,11.02,47.66,18.52,1800.18,0.75,1,41,41,High
2019-03-21,36.91,32.56,35.89,66.94,14.01,0.29,25.51,2.07,43.61,13.41,1591.12,0.71,1,42,37,High
2019-03-22,40.47,31.91,35.91,76.34,14.65,3.41,23.27,9.02,48.1,20.58,7362.92,0.38,1,43,44,High
2019-03-23,41.64,31.02,35.92,63.02,10.96,3.87,22.66,9.44,47.94,10.48,7115.38,0.59,1,44,43,High
2019-03-24,43.9,34.11,35.94,86.79,13.66,10.06,29.02,10.29,52.57,12.09,741.8,0.16,1,45,46,High
2019-03-25,39.92,35.4,35.95,50.88,10.4,0.9,24.77,7.87,45.01,15.72,6137.79,0.6,1,46,40,High
2019-03-26,39.35,32.79,35.97,83.11,9.71,0.06,27.52,8.42,47.66,12.47,5415.99,0.78,1,47,44,High
2019-03-27,39.97,33.81,35.98,67.76,9.0,2.37,26.72,9.97,46.75,13.94,6258.06,0.48,1,48,45,High
2019-03-28,42.81,32.75,35.98,78.6,9.07,3.68,33.99,10.98,50.67,14.89,4208.77,0.45,1,49,47,High
2019-03-29,41.65,32.21,35.99,70.8,5.36,4.69,30.42,7.4,48.73,19.99,7935.34,0.23,1,50,48,High
2019-03-30,39.94,32.68,36.0,81.4,10.79,0.65,26.54,8.53,48.08,15.32,828.85,0.54,1,51,49,High
2019-03-31,42.03,29.82,36.0,66.13,9.88,0.91,37.15,11.36,48.64,13.07,2257.79,0.51,1,52,48,High
2019-04-01,41.19,31.51,36.0,59.01,12.24,2.16,28.36,3.75,47.1,11.47,3474.09,0.56,1,53,46,High
2019-04-02,42.94,31.55,36.0,84.21,10.28,1.2,35.44,6.62,51.36,13.72,3873.33,0.12,1,54,52,High
2019-04-03,39.59,31.06,36.0,68.87,9.51,5.91,29.86,10.93,46.48,15.22,7410.26,0.48,1,55,45,High
2019-04-04,40.34,33.7,35.99,72.22,7.39,1.93,10.26,10.19,47.56,18.45,4700.03,0.52,1,56,44,High
2019-04-05,40.2,30.43,35.99,82.35,10.22,4.82,35.44,9.04,48.44,9.69,838.33,0.25,1,57,49,High
2019-04-06,38.05,32.09,35.98,59.68,12.21,2.61,26.08,7.1,44.02,11.1,3558.97,0.25,1,58,45,High
2019-04-07,41.56,30.96,35.97,75.95,6.57,4.45,24.58,6.24,49.16,13.32,3623.68,0.29,1,59,48,High
2019-04-08,41.48,33.57,35.96,64.1,10.26,1.21,27.25,6.82,47.89,13.05,7741.18,0.6,1,60,53,High
2019-04-09,40.96,34.28,35.95,68.68,10.7,5.34,22.24,11.1,47.82,13.48,4993.98,0.52,1,61,53,High
2019-04-10,40.46,30.71,35.93,70.72,7.85,0.96,26.82,6.74,47.54,19.11,5267.38,0.69,1,62,50,High
2019-04-11,38.08,31.35,35.92,55.0,8.24,2.37,20.26,8.2,43.58,12.54,5849.4,0.31,1,63,47,High
2019-04-12,40.06,33.25,35.9,62.21,10.69,0.72,35.19,6.49,46.28,15.03,6275.29,0.74,1,64,51,High
2019-04-13,40.19,33.18,35.88,83.51,6.6,1.94,24.09,9.69,48.54,16.73,5262.88,0.62,1,65,54,High
2019-04-14,39.25,30.17,35.86,78.86,11.05,1.15,21.94,6.92,47.14,11.25,2278.96,0.38,1,66,53,High
2019-04-15,40.51,33.62,35.83,69.37,7.31,0.93,17.6,7.8,47.45,18.06,7055.34,0.17,1,67,48,High
2019-04-16,41.62,29.34,35.81,72.43,13.19,10.23,27.15,4.63,48.86,15.66,5990.9,0.28,1,68,54,High
2019-04-17,44.55,33.13,35.78,67.06,17.01,0.52,26.5,4.77,51.26,14.25,6064.03,0.77,1,69,52,High
2019-04-18,41.1,30.79,35.75,83.57,7.42,4.64,28.11,8.02,49.46,19.34,7974.18,0.32,1,70,59,High
2019-04-19,41.24,32.22,35.72,68.0,11.6,12.44,16.78,5.35,48.04,11.41,6518.95,0.33,1,71,53,High
2019-04-20,40.54,30.79,35.69,72.32,7.82,0.06,12.19,12.21,47.77,20.36,6718.64,0.23,1,72,52,High
2019-04-21,36.82,32.47,35.66,81.46,13.12,3.6,30.0,3.88,44.97,15.85,7635.54,0.66,1,73,54,High
2019-04-22,40.57,31.87,35.62,62.23,6.2,0.87,36.88,6.4,46.79,16.53,1633.5,0.29,1,74,55,High
2019-04-23,40.7,31.52,35.58,85.59,11.44,0.12,16.79,8.03,49.26,20.25,4232.96,0.33,1,75,57,High
2019-04-24,45.47,33.05,35.55,54.7,7.38,1.55,37.72,7.27,50.94,19.45,4854.25,0.39,1,76,61,High
2019-04-25,40.12,30.39,35.51,86.3,9.38,8.21,27.27,5.79,48.75,16.42,2969.57,0.4,1,77,55,High
2019-04-26,41.07,32.23,35.46,66.27,6.91,0.04,24.94,6.08,47.69,18.54,6795.53,0.39,1,78,60,High
2019-04-27,40.35,31.76,35.42,67.57,12.47,2.66,21.82,6.02,47.11,14.07,6218.15,0.45,1,79,59,High
2019-04-28,38.04,32.87,35.38,51.1,7.49,2.09,13.92,7.43,43.15,15.66,5906.62,0.67,1,80,51,High
2019-04-29,42.61,35.17,35.33,65.45,11.66,6.2,32.9,11.9,49.16,8.87,7978.62,0.67,1,81,58,High
2019-04-30,41.78,31.57,35.28,59.6,8.97,0.26,18.8,8.16,47.74,9.26,2445.36,0.66,1,82,59,High
2019-05-01,41.81,27.61,35.23,63.92,9.66,3.43,18.76,10.37,48.2,19.61,6015.93,0.17,1,83,61,High
2019-05-02,38.36,30.0,35.18,68.63,10.44,3.42,32.94,9.01,45.22,8.84,4635.53,0.66,1,84,57,High
2019-05-03,42.93,31.15,35.13,79.58,7.71,3.32,9.94,10.23,50.89,10.37,2847.42,0.18,1,85,60,High
2019-05-04,37.27,31.47,35.07,72.08,10.63,8.56,12.81,2.4,44.48,19.14,1704.4,0.19,1,86,63,High
2019-05-05,41.19,30.98,35.02,73.08,14.59,5.2,24.85,7.39,48.5,8.02,7219.13,0.76,1,87,60,High
2019-05-06,44.34,30.14,34.96,59.04,7.67,0.13,27.35,10.61,50.24,11.95,4965.92,0.67,1,88,60,High
2019-05-07,37.92,32.67,34.9,61.19,13.52,1.91,28.88,6.86,44.04,16.18,6687.0,0.49,1,89,60,High
2019-05-08,38.71,29.17,34.84,87.99,14.49,1.52,22.59,11.52,47.51,16.34,4590.09,0.71,1,90,62,High
2019-05-09,39.98,29.7,34.78,62.65,7.55,1.11,45.24,10.97,46.24,18.88,2149.83,0.79,1,91,63,High
2019-05-10,38.71,29.64,34.71,86.56,5.63,1.8,23.18,7.06,47.36,15.08,3031.62,0.53,1,92,63,High
2019-05-11,36.55,29.99,34.65,67.57,10.91,1.45,23.15,6.99,43.3,15.13,3361.54,0.53,1,93,58,High
2019-05-12,39.72,30.55,34.58,70.02,8.36,1.7,18.62,5.97,46.72,18.15,7797.01,0.63,1,94,61,High
2019-05-13,37.39,29.51,34.52,80.7,15.61,11.63,25.99,6.74,45.46,14.98,542.25,0.26,1,95,64,High
2019-05-14,40.39,29.56,34.45,82.72,10.1,0.28,29.92,5.53,48.67,16.52,7892.5,0.22,1,96,62,High
2019-05-15,37.54,30.91,34.38,68.89,7.59,7.66,34.63,8.86,44.43,20.57,7853.46,0.63,1,97,66,High
2019-05-16,42.41,31.17,34.31,66.12,6.56,1.96,13.09,5.09,49.02,13.62,7971.13,0.34,1,98,59,High
2019-05-17,37.67,30.08,34.23,69.44,13.27,2.93,23.03,9.21,44.61,13.39,4074.41,0.19,1,99,59,High
2019-05-18,38.52,27.84,34.16,73.38,8.29,5.32,28.57,9.26,45.85,8.05,7728.57,0.32,1,100,63,High
2019-05-19,40.71,31.94,34.08,78.91,10.13,1.34,29.7,4.68,48.6,16.59,3466.99,0.35,1,101,68,High
2019-05-20,36.55,32.21,34.01,70.04,12.87,1.69,25.05,11.1,43.55,8.42,697.21,0.78,1,102,66,High
2019-05-21,39.39,29.68,33.93,76.19,8.55,1.58,29.34,9.03,47.0,15.06,2182.6,0.59,1,103,67,High
2019-05-22,41.47,29.78,33.85,86.38,9.86,1.41,18.53,9.5,50.1,19.26,7589.72,0.47,1,104,68,High
2019-05-23,35.56,29.51,33.77,73.81,9.95,7.79,37.46,6.48,42.94,15.7,603.24,0.78,1,105,68,High
2019-05-24,39.06,29.33,33.69,73.12,12.05,5.3,32.94,9.24,46.37,11.77,4594.96,0.73,1,106,66,High
2019-05-25,39.13,29.94,33.61,54.81,11.77,0.35,14.24,10.25,44.61,19.01,1067.01,0.46,1,107,66,High
2019-05-26,40.09,27.29,33.53,43.69,9.34,0.34,16.4,7.8,44.46,11.78,2647.97,0.73,1,108,62,High
2019-05-27,35.97,31.84,33.44,73.88,10.19,1.68,16.62,12.0,43.36,18.26,1160.7,0.38,1,109,67,High
2019-05-28,35.72,30.6,33.36,69.05,8.88,0.31,30.42,8.09,42.62,16.54,6946.46,0.26,1,110,67,High
2019-05-29,39.32,29.43,33.27,64.85,5.57,2.9,14.72,10.28,45.8,10.38,4933.03,0.26,1,111,65,High
2019-05-30,38.78,31.65,33.18,72.44,10.77,0.47,22.35,8.59,46.02,20.67,7265.8,0.56,1,112,70,High
2019-05-31,38.6,29.36,33.1,69.4,15.68,2.22,28.64,9.17,45.54,10.81,5662.65,0.45,1,113,69,High
2019-06-01,38.7,26.52,33.01,81.28,7.35,0.02,24.47,4.66,46.83,21.85,7782.72,0.56,1,114,74,High
2019-06-02,36.56,28.89,32.92,70.86,7.68,1.14,27.07,8.74,43.64,8.1,4324.08,0.58,1,115,65,High
2019-06-03,38.29,28.48,32.83,62.53,7.39,3.39,16.47,6.53,44.54,11.69,5290.33,0.12,1,116,68,High
2019-06-04,38.32,30.63,32.74,79.9,12.17,1.99,29.76,6.31,46.31,10.8,4822.32,0.14,1,117,70,High
2019-06-05,36.21,29.57,32.64,67.83,11.35,11.49,20.09,11.49,43.0,8.2,4131.95,0.47,1,118,70,High
2019-06-06,41.28,29.11,32.55,75.27,9.52,6.22,22.4,7.57,48.81,18.25,6844.7,0.23,1,119,75,High
2019-06-07,38.4,28.93,32.46,65.23,7.25,1.33,26.9,5.99,44.93,17.71,5333.94,0.54,1,120,73,High
2019-06-08,34.98,26.44,32.36,63.5,10.28,0.14,25.82,7.28,41.33,19.09,6509.84,0.49,0,0,20,High
2019-06-09,38.58,27.43,32.27,70.84,5.31,5.61,25.19,5.4,45.66,11.59,6397.73,0.51,1,1,26,High
2019-06-10,35.22,29.84,32.17,70.13,10.43,7.27,18.99,10.87,42.23,14.22,1932.84,0.31,1,2,20,High
2019-06-11,38.65,27.7,32.07,74.8,12.61,5.15,22.6,6.61,46.13,17.23,5376.23,0.55,1,3,22,High
2019-06-12,39.29,27.23,31.98,67.31,6.25,0.41,25.02,9.06,46.02,14.16,1997.36,0.68,1,4,23,High
2019-06-13,35.24,26.17,31.88,51.64,5.4,18.52,14.0,10.71,40.4,17.76,4874.9,0.8,1,5,22,High
2019-06-14,38.71,25.41,31.78,65.67,14.74,0.9,21.3,7.0,45.27,16.88,5580.76,0.69,1,6,28,High
2019-06-15,37.51,29.2,31.68,77.94,8.16,3.86,28.1,9.06,45.3,9.61,7979.26,0.49,1,7,21,High
2019-06-16,38.23,28.8,31.58,67.03,13.41,7.16,14.78,5.94,44.93,18.93,729.06,0.24,1,8,29,High
2019-06-17,40.28,29.37,31.48,67.54,9.54,0.81,34.25,12.89,47.03,18.09,1184.32,0.58,1,9,30,High
2019-06-18,35.89,27.73,31.38,79.86,9.51,7.17,35.16,9.87,43.88,17.18,1077.7,0.76,1,10,26,High
2019-06-19,34.77,26.58,31.28,62.88,11.32,1.11,15.04,7.61,41.06,10.17,3487.71,0.25,0,0,19,High
2019-06-20,34.4,25.7,31.18,54.57,7.35,11.24,35.86,6.45,39.86,11.75,6661.91,0.28,0,0,23,High
2019-06-21,34.45,27.19,31.08,68.39,10.4,0.99,23.85,7.77,41.29,13.5,6830.42,0.2,0,0,22,High
2019-06-22,35.82,27.46,30.98,65.16,8.86,9.2,28.35,7.32,42.34,11.92,6027.35,0.62,1,1,25,High
2019-06-23,36.56,26.65,30.87,60.34,6.04,0.17,21.03,11.91,42.59,11.19,7226.59,0.38,1,2,20,High
2019-06-24,36.33,28.03,30.77,68.25,11.01,3.71,32.38,5.55,43.15,19.28,2921.45,0.14,1,3,25,High
2019-06-25,37.32,23.54,30.67,74.92,9.21,2.28,28.25,8.27,44.82,16.94,1161.16,0.71,1,4,24,High
2019-06-26,35.59,28.98,30.57,69.91,9.53,1.95,18.49,7.96,42.58,15.92,936.15,0.49,1,5,28,High
2019-06-27,38.37,26.19,30.46,73.07,6.37,0.76,15.68,7.77,45.68,11.16,6891.0,0.33,1,6,26,High
2019-06-28,34.83,23.33,30.36,88.13,14.77,3.67,13.32,7.78,43.65,20.85,5978.27,0.34,0,0,28,High
2019-06-29,40.7,26.25,30.26,66.57,12.63,0.64,26.5,7.77,47.36,10.68,5739.61,0.3,1,1,24,High
2019-06-30,36.41,26.44,30.15,72.78,12.89,2.41,29.58,9.75,43.68,19.13,3047.57,0.42,1,2,24,High
2019-07-01,33.34,26.59,30.05,64.91,9.08,0.88,30.21,9.22,39.83,21.53,3349.29,0.34,0,0,21,High
2019-07-02,32.81,26.22,29.95,61.54,4.81,9.34,24.06,8.84,38.96,18.18,7685.85,0.48,0,0,23,High
2019-07-03,35.81,23.79,29.85,64.15,15.86,0.09,15.74,1.93,42.23,21.9,978.54,0.64,1,1,22,High
2019-07-04,34.29,29.06,29.74,65.21,9.82,0.67,19.54,8.6,40.82,17.11,6302.99,0.57,0,0,20,High
2019-07-05,36.07,23.34,29.64,73.59,7.75,0.83,34.22,4.69,43.43,11.04,2822.25,0.31,1,1,24,High
2019-07-06,35.48,27.67,29.54,93.49,11.25,1.6,21.12,9.29,44.83,10.85,792.91,0.47,1,2,24,High
2019-07-07,34.29,25.83,29.43,62.84,13.5,0.79,26.15,10.95,40.57,12.54,6069.28,0.69,0,0,19,High
2019-07-08,32.64,25.97,29.33,65.83,9.93,2.03,16.39,6.15,39.22,8.1,2981.84,0.15,0,0,17,Moderate
2019-07-09,31.2,24.34,29.23,69.37,13.84,6.18,27.69,7.48,38.13,17.54,5916.11,0.15,0,0,20,High
2019-07-10,33.23,27.52,29.13,73.96,13.25,3.74,21.34,6.8,40.63,11.76,5807.41,0.49,0,0,20,High
2019-07-11,35.74,24.33,29.02,72.64,6.77,2.6,33.37,10.47,43.0,19.41,4510.9,0.55,1,1,27,High
2019-07-12,34.35,21.88,28.92,82.84,7.98,0.28,31.19,8.19,42.63,13.03,6330.3,0.25,0,0,26,High
2019-07-13,31.33,26.86,28.82,45.74,12.87,3.55,21.03,11.46,35.9,14.72,4857.79,0.62,0,0,15,Moderate
2019-07-14,34.07,24.43,28.72,46.13,1.86,0.55,23.99,8.83,38.68,21.52,2649.78,0.55,0,0,19,High
2019-07-15,34.39,25.61,28.62,65.04,9.55,4.63,20.59,8.48,40.89,11.39,6005.86,0.75,0,0,18,Moderate
2019-07-16,31.75,23.88,28.52,80.97,5.71,0.86,13.64,8.14,39.85,18.1,4918.55,0.22,0,0,20,High
2019-07-17,33.73,24.39,28.42,54.34,8.57,1.62,18.14,9.64,39.16,18.57,595.45,0.63,0,0,18,Moderate
2019-07-18,33.44,25.28,28.32,39.92,9.1,1.29,26.59,4.52,37.43,11.09,7262.33,0.16,0,0,18,Moderate
2019-07-19,30.93,23.49,28.22,75.71,8.93,5.87,27.6,8.17,38.5,15.01,4592.33,0.5,0,0,22,High
2019-07-20,33.84,21.41,28.12,72.44,8.34,0.41,26.19,7.86,41.08,12.9,7014.7,0.49,0,0,16,Moderate
2019-07-21,34.15,24.31,28.02,59.1,6.71,2.5,22.59,9.45,40.05,18.81,7120.53,0.37,0,0,21,High
2019-07-22,35.09,22.85,27.93,60.14,16.88,0.46,32.46,7.62,41.11,16.71,3837.25,0.69,1,1,22,High
2019-07-23,34.94,25.77,27.83,60.3,15.6,3.66,25.51,5.92,40.97,14.66,4307.45,0.1,0,0,21,High
2019-07-24,29.98,25.17,27.73,71.11,6.51,7.06,30.63,8.01,37.09,18.91,3618.16,0.46,0,0,18,Moderate
2019-07-25,30.76,22.93,27.64,63.74,14.75,1.71,10.81,5.83,37.14,11.29,3870.78,0.25,0,0,19,High
2019-07-26,33.57,21.32,27.54,74.94,8.8,2.01,5.0,4.15,41.07,18.55,7213.6,0.62,0,0,21,High
2019-07-27,33.48,22.92,27.45,41.45,10.39,7.87,27.27,9.45,37.62,20.12,6411.08,0.13,0,0,20,High
2019-07-28,33.39,23.83,27.36,61.43,9.81,2.21,13.6,9.16,39.53,20.3,1448.94,0.68,0,0,21,High
2019-07-29,39.97,23.27,27.26,58.74,8.02,2.01,23.3,8.93,45.84,18.97,5077.31,0.69,1,1,23,High
2019-07-30,33.31,25.05,27.17,67.44,12.95,2.59,22.58,10.61,40.06,13.71,7969.3,0.68,0,0,18,Moderate
2019-07-31,34.35,22.18,27.08,64.62,10.38,3.51,37.7,6.67,40.82,21.75,4966.63,0.21,0,0,24,High
2019-08-01,33.9,21.67,26.99,77.98,8.57,0.34,28.2,5.14,41.7,13.31,6394.04,0.54,0,0,20,High
2019-08-02,33.21,23.58,26.9,51.41,6.09,5.16,26.33,7.86,38.35,16.94,6267.96,0.11,0,0,22,High
